State,Constituency Name,Candidate,Party,Votes Margin,Year
Tamil Nadu,Sivaganga,Karti P Chidambaram,INC,332244,2019
West Bengal,Vishnupur,Susmita Bauri,CPM,331829,2004
Karnataka,Bangalore South,Shri Tejaswi Surya,BJP,331192,2019
Uttar Pradesh,Mathura,Hema Malini,BJP,330743,2014
Rajasthan,Alwar,Shri Balak Nath,BJP,329971,2019
Gujarat,Bhavnagar,Dr. Mrs. Bharatiben Shiyal,BJP,329519,2019
Tamil Nadu,Arakkonam,S. Jagathrakshakan,DMK,328956,2019
Madhya Pradesh,Betul,Jyoti Dhurve,BJP,328614,2014
Himachal Pradesh,Shimla,Shri Suresh Kashyap,BJP,327515,2019
Gujarat,Ahmedabad East,Paresh Rawal,BJP,326633,2014
Uttar Pradesh,Hathras,Rajesh Kumar Diwaker,BJP,326386,2014
Maharashtra,Pune,Shri Girish Bhalchandra Bapat,BJP,324628,2019
Rajasthan,Barmer,Shri Kailash Chaudhry,BJP,323808,2019
Tamil Nadu,Tiruvallur,Venugopal.P.(Dr),AIADMK,323430,2014
Bihar,Jhanjharpur,Ramprit Mandal,JD(U),322951,2019
West Bengal,Diamond Harbour,Abhishek Banerjee,AITC,320594,2019
Orissa,Jajpur,Rita Tarai,BJD,320271,2014
Rajasthan,Bharatpur,Smt Ranjeeta Kohli,BJP,318399,2019
Maharashtra,Raver,Khadase Raksha Nikhil,BJP,318068,2014
Maharashtra,Mumbai-North-East,Kirit Somaiya,BJP,317122,2014
Rajasthan,Chittorgarh,Chandra Prakash Joshi,BJP,316857,2014
West Bengal,Joynagar,Pratima Mondal,AITC,316775,2019
Telangana,Medak,Kotha Prabhakar Reddy,TRS,316427,2019
Assam,Gauhati,Bijoya Chakravarty,BJP,315784,2014
Maharashtra,Pune,Anil Shirole,BJP,315769,2014
Tamil Nadu,Theni,"Parthipan, R.",AIADMK,314532,2014
Maharashtra,Madha,Sharad Chandra Govindrao Pawar,NCP,314459,2009
Haryana,Hisar,Brijendra Singh,BJP,314068,2019
Andhra Pradesh,Amalapuram,Ganti Vijayakumari,TDP,313660,1999
Madhya Pradesh,Rewa,Shri Janardan Mishra,BJP,312807,2019
Uttar Pradesh,Gorakhpur,Adityanath,BJP,312783,2014
Orissa,Aska,Ladu Kishore Swain,BJD,311997,2014
Tripura,Tripura East,Baju Ban Riyan,CPM,310736,2004
West Bengal,Bolpur,Chatterjee Somnath,CPM,310305,2004
Uttar Pradesh,Unnao,Swami Sachchidanand Hari Sakshi,BJP,310173,2014
Haryana,Sirsa,Smt Suneeta Duggal,BJP,309918,2019
Madhya Pradesh,Ujjain,Prof. Chintamani Malviya,BJP,309663,2014
Uttar Pradesh,Phulpur,Keshav Prasad Maurya,BJP,308308,2014
Rajasthan,Bikaner,Arjun Ram Meghwal,BJP,308079,2014
Uttar Pradesh,Kannauj,Akhilesh Yadav,SP,307373,2004
Uttar Pradesh,Pilibhit,Maneka Sanjay Gandhi,BJP,307052,2014
Orissa,Cuttack,Bhartruhari Mahatab,BJD,306762,2014
Madhya Pradesh,Bhopal,Kailash Joshi,BJP,306005,2004
Tripura,Tripura West,Pratima Bhoumik,BJP,305689,2019
Madhya Pradesh,Sagar,Shri Rajbahadur Singh,BJP,305542,2019
Gujarat,Kachchh,Shri Chavda Vinod Lakhamshi,BJP,305513,2019
Rajasthan,Banswara,Shri Kanak Mal Katara,BJP,305464,2019
Tamil Nadu,Tiruvannamalai,Annadurai C N,DMK,304187,2019
Madhya Pradesh,Mandsaur,Sudhir Gupta,BJP,303649,2014
Jammu & Kashmir,Jammu,Shri Jugal Kishore Sharma,BJP,302875,2019
Uttarakhand,Garhwal,Shri Tirath Singh Rawat,BJP,302669,2019
Rajasthan,Jhunjhunu,Shri Narendra Kumar,BJP,302547,2019
Uttar Pradesh,Unnao,Smt. Annu Tandon,INC,302092,2009
Jharkhand,Jamshedpur,Shri Vidhyut Varan Mahato,BJP,302090,2019
Maharashtra,Shirur,Adhalrao Shivaji Dattatrey,SHS,301814,2014
West Bengal,Burdwan,Sar Nikhilananda,CPM,301683,1999
Uttar Pradesh,Gorakhpur,Ravindra Shyamnarayan,BJP,301664,2019
Bihar,Madhepura,Dinesh Chandra Yadav,JD(U),301527,2019
Tamil Nadu,Chennai Central,Dayanidhi Maran,DMK,301520,2019
Uttarakhand,Tehri Garhwal,Smt. Mala Rajya Laxmi Shah,BJP,300586,2019
Uttar Pradesh,Agra,Dr. Ram Shankar Katheria,BJP,300263,2014
Uttar Pradesh,Amethi,Sonia Gandhi,INC,300012,1999
Maharashtra,Baramati,Pawar Sharadchandra Govindrao,NCP,298903,1999
Maharashtra,Satara,Udayanraje Pratapsingh Bhonsle,NCP,297515,2009
Rajasthan,Sikar,Shri Sumedhanand Saraswati,BJP,297156,2019
Tripura,Tripura East,Baju Ban Riyan,CPM,295581,2009
Gujarat,Bhavnagar,Dr. Bharatiben Dhirubhai Shiyal,BJP,295488,2014
West Bengal,Jadavpur,Mimi Chakraborty,AITC,295239,2019
Chhattisgarh,Raigarh,Vishnu Deo Sai,BJP,294837,2009
Rajasthan,Churu,Rahul Kaswan,BJP,294739,2014
Tamil Nadu,Namakkal,Sundaram P.R,AIADMK,294374,2014
Bihar,Paschim Champaran,Dr. Sanjay Jaiswal,BJP,293906,2019
Bihar,Purvi Champaran,Radha Mohan Singh,BJP,293648,2019
Uttar Pradesh,Mathura,Hema Malini,BJP,293471,2019
Jharkhand,Dhanbad,Pashupati Nath Singh,BJP,292954,2014
West Bengal,Jhargram,Dr. Pulin Bihari Baske,CPM,292345,2009
Maharashtra,Nashik,Hemant Tukaram Godse,SHS,292204,2019
Assam,Lakhimpur,Sarbananda Sonowal,BJP,292138,2014
Andhra Pradesh,Nellore,M.K.Reddy,YSRCP,291745,2009
Rajasthan,Ganganagar,Nihalchand,BJP,291741,2014
Telangana,Peddapalli,Balka Suman,TRS,291158,2014
Karnataka,Hassan,H.D. Devegowda,JD(S),291113,2009
Uttar Pradesh,Amethi,Rahul Gandhi,INC,290853,2004
Uttar Pradesh,Bulandshahr,Bhola Singh,BJP,290057,2019
Maharashtra,Latur,Shri Sudhakar Tukaram Shrangare,BJP,289111,2019
Uttar Pradesh,Jalaun,Bhanu Pratap Singh Verma,BJP,287202,2014
Bihar,Gopalganj,Janak Ram,BJP,286936,2014
Uttar Pradesh,Aligarh,Satish Kumar,BJP,286736,2014
Tamil Nadu,Kancheepuram,Selvam.G,DMK,286632,2019
Madhya Pradesh,Sidhi,Smt. Riti Pathak,BJP,286524,2019
Bihar,Gopalganj (Sc),Dr. Alok Kumar Suman,JD(U),286434,2019
Maharashtra,Nagpur,Gadkari Nitin Jairam,BJP,284828,2014
Uttarakhand,Nainital-Udhamsingh Nagar,Bhagat Singh Koshyari,BJP,284717,2014
Bihar,Patna Sahib,Ravi Shankar Prasad,BJP,284657,2019
Rajasthan,Alwar,Chand Nath,BJP,283895,2014
Jharkhand,Ranchi,Shri Sanjay Seth,BJP,283026,2019
Uttar Pradesh,Faizabad,Lallu Singh,BJP,282775,2014
Telangana,Hyderabad,Asaduddin Owaisi,Others,282186,2019
Rajasthan,Jhalawar-Baran,Dushyant Singh,BJP,281546,2014
Gujarat,Mahesana,Shardaben Anilbhai Patel,BJP,281519,2019
Uttar Pradesh,Pilibhit,Feroze Varun Gandhi,BJP,281501,2009
Maharashtra,Ahmadnagar,Shri Sujay Radhakrishna Vikhepatil,BJP,281474,2019
Maharashtra,Thane,Vichare Rajan Baburao,SHS,281299,2014
Uttar Pradesh,Gautam Buddha Nagar,Dr.Mahesh Sharma,BJP,280212,2014
Rajasthan,Kota,Shri Om Birla,BJP,279677,2019
West Bengal,Panskura,Gurudas Dasgupta,CPI,279478,2004
Uttar Pradesh,Akbarpur,Devendra Singh (Bhole Singh),BJP,278997,2014
Maharashtra,Hingoli,Hemant Patil,SHS,277856,2019
Bihar,Bhagalpur,Ajay Kumar Mandal,JD(U),277630,2019
West Bengal,Durgapur,Sunil Khan,CPM,277508,2004
Gujarat,Surendranagar,Dr. Mahendra Bhai Munjpara,BJP,277437,2019
Bihar,Ujiarpur,Nityanand Rai,BJP,277278,2019
Tamil Nadu,Mayiladuthurai,Bharathi Mohan R.K,AIADMK,277050,2014
Orissa,Jagatsinghpur,Kulamani Samal,BJD,276394,2014
Maharashtra,Akola,Shri Dhotre Sanjay Shamrao,BJP,275596,2019
Uttar Pradesh,Akbarpur,Devendra Singh Bhole,BJP,275142,2019
