State,Constituency Name,Candidate,Party,Votes Margin,Year
Tamil Nadu,Namakkal,S. Gandhiselvan,DMK,102431,2009
Assam,Jorhat,Kamakhya Prasad Tasa,BJP,102420,2014
Orissa,Phulbani,Padmanava Behera,BJD,102215,1999
Tamil Nadu,Arakkonam,"Velu, R.",PMK,102196,2004
Orissa,Kendrapara,Prabhat Kumar Samantray,BJD,102139,1999
Assam,Karimganj,Radheshyam Biswas,AUDF,102094,2014
Andhra Pradesh,Eluru,Maganti Venkateswara Rao (Babu),TDP,101926,2014
West Bengal,Ranaghat,Dr. Sucharu Ranjan Haldar,AITC,101823,2009
Uttar Pradesh,Sultanpur,Mohd. Tahir,BSP,101810,2004
Tamil Nadu,Thanjavur,S.S. Palanimanickam,DMK,101787,2009
Orissa,Jajpur,Sarmishtha Sethi,BJD,101693,2019
West Bengal,Darjeeling,Dawa Narbula,INC,101416,2004
Gujarat,Porbandar,Javiya Gordhanbhai Jadavbhai,BJP,101360,1999
Gujarat,Bhavnagar,Rana Rajendrasinh Ghanshyamsinh (Rajubhai Rana),BJP,101353,1999
Karnataka,Chitradurga,B.N.Chandrappa,INC,101291,2014
Bihar,Sitamarhi,Nawal Kishore Rai,JD(U),101257,1999
Meghalaya,Tura,Purno Agitok Sangma,NCP,101176,2004
Andhra Pradesh,Kurnool,Kotla Jayasurya Prakasha Reddy,INC,101098,2004
Maharashtra,Ichalkaranji,Mane Nivedita Sambhajirao,NCP,101049,2004
Madhya Pradesh,Morena,Narendra Singh Tomar,BJP,100997,2009
Uttar Pradesh,Sitapur,Rajesh Verma,BJP,100833,2019
Himachal Pradesh,Kangra,Shanta Kumar,BJP,100742,1999
Orissa,Bolangir,Sangeeta Kumari Singh Deo,BJP,100682,2004
Uttar Pradesh,Misrikh,Ashok Kumar Rawat,BJP,100672,2019
Gujarat,Mehsana,Thakor Punjaji Sadaji,BJP,100570,1999
Punjab,Khadoor Sahib,Ranjit Singh Brahmpura,SAD,100569,2014
Karnataka,Hassan,H.D. Devegowda,JD(S),100462,2014
Chhattisgarh,Bastar,Baliram Kashyap,BJP,100262,2009
Andhra Pradesh,Hyderabad,Asaduddin Owaisi,AIMIM,100145,2004
Maharashtra,Mumbai South,Arvind Ganpat Sawant,SHS,100067,2019
Kerala,Thiruvananthapuram,Dr. Shashi Tharoor,INC,99998,2009
Jharkhand,Jamshedpur,Bidyut Baran Mahato,BJP,99876,2014
Tamil Nadu,Chennai North,Venkatesh Babu .T.G,AIADMK,99704,2014
Maharashtra,Pandharpur,Athawale Ramdas Bandu,RPI(A),99693,2004
Maharashtra,Thane,Prakash Paranjpe,SHS,99683,1999
Andhra Pradesh,Nagarkurnool,Dr.Manda Jagannath,TDP,99650,2004
Maharashtra,Solapur,Sushil Kumar Sambhajirao Shinde,INC,99632,2009
Punjab,Amritsar,Gurjit Singh Aujla,INC,99626,2019
Madhya Pradesh,Jabalpur,Rakesh Singh,BJP,99531,2004
Maharashtra,Nagpur,Vilas Muttemwar,INC,99483,2004
Maharashtra,Mumbai-North-East,Kamat Gurudas,INC,99400,2004
Assam,Jorhat,Bijoy Krishna Handique,INC,99360,1999
Bihar,Vaishali,Rama Kishore Singh,LJP,99267,2014
Jharkhand,Rajmahal,Vijay Hansda,JMM,99195,2019
Tamil Nadu,Chidambaram,Thirumaa Valavan Thol,VCK,99083,2009
West Bengal,Uluberia,Sultan Ahmed,AITC,98936,2009
West Bengal,Berhampore,Adhir Ranjan Chowdhury,INC,98901,2004
Punjab,Phillaur,Charanjit Singh Atwal,SAD,98884,2004
West Bengal,Nabadwip,Alakesh Das,CPM,98800,1999
Uttar Pradesh,Sultanpur,Dr. Sanjay Sinh,INC,98779,2009
Maharashtra,Chimur,Shivankar Mahadeorao Sukaji,BJP,98774,2004
Jharkhand,Kodarma,Ravindra Kr. Ray,BJP,98654,2014
West Bengal,Srerampur,Kalyan Banerjee,AITC,98536,2019
West Bengal,Bankura,Sreemati Dev Varma (Moon Moon Sen),AITC,98506,2014
Orissa,Bargarh,Sanjay Bhoi,INC,98444,2009
West Bengal,Calcutta South,Mamata Banerjee,AITC,98429,2004
Himachal Pradesh,Hamirpur,Anurag Singh Thakur,BJP,98403,2014
Rajasthan,Jodhpur,Smt. Chandresh Kumari Katoch,INC,98329,2009
West Bengal,Dum Dum,Amitava Nandy,CPM,98252,2004
Kerala,Palghat,N. N. Krishnadas,CPM,98158,2004
Bihar,Sitamarhi,Sitaram Yadav,RJD,98005,2004
Uttar Pradesh,Sant Kabir Nagar,Sharad Tripathi,BJP,97978,2014
Uttar Pradesh,Moradabad,Dr. S T Hassan,SP,97878,2019
Rajasthan,Karauli-Dholpur,Shri Manoj Rajuriya,BJP,97682,2019
Madhya Pradesh,Mandla,Faggansingh Kulaste,BJP,97674,2019
Andhra Pradesh,Secunderabad,Bandaru Dattatraya,BJP,97626,1999
Punjab,Patiala,Smt. Preneet Kaur,INC,97389,2009
Andhra Pradesh,Hindupur,Kristappa Nimmala,TDP,97325,2014
Madhya Pradesh,Betul,Smt. Jyoti Dhurve,BJP,97317,2009
Bihar,Motihari,Akhiles Prasad Singh,RJD,97024,2004
Rajasthan,Bharatpur,Vishvendra Singh,BJP,97018,1999
West Bengal,Barasat,Dr.Ranjit Kumar Panja,AITC,96900,1999
Andhra Pradesh,Srikakulam,Yerrannaidu Kinjarapu,TDP,96882,1999
Uttar Pradesh,Moradabad,Chandra Vijay Singh Alias Baby Raja,ABLTC,96450,1999
Uttar Pradesh,Akbarpur,Shankhlal Majhi,SP,96400,2004
Orissa,Koraput,Jayaram Pangi,BJD,96360,2009
West Bengal,Kolkata Uttar,Sudip Bandyopadhyay,AITC,96226,2014
Madhya Pradesh,Balaghat,Bodhsingh Bhagat,BJP,96041,2014
Maharashtra,Hatkanangle,Dhairyasheel Mane,SHS,96039,2019
Karnataka,Bellary,Kolur Basavanagoud,INC,96020,1999
Maharashtra,Jalgaon,A.T. (Nana) Patil,BJP,96020,2009
Maharashtra,Wardha,Datta Raghobaji Meghe,INC,95918,2009
Rajasthan,Ganganagar,Nihal Chand,BJP,95886,1999
Uttar Pradesh,Ambedkar Nagar,Shri Ritesh Pandey,BSP,95880,2019
Uttarakhand,Almora,Ajay Tamta,BJP,95690,2014
Uttar Pradesh,Bahraich,Sadhvi Savitri Bai Foole,BJP,95645,2014
Tamil Nadu,Arakkonam,"Jagathrakshakan, S. Dr.",DMK,95644,1999
Maharashtra,Nandurbar,Dr. Heena Vijaykumar Gavit,BJP,95629,2019
Karnataka,Gulbarga,Dr. Umesh G Jadhav,BJP,95452,2019
West Bengal,Berhampore,Adhir Ranjan Chowdhury,INC,95391,1999
Telangana,Peddapalle,Venkatesh Netha Borlakunta,TRS,95180,2019
Maharashtra,Hatkanangle,Raju Alias Devappa Anna Shetti,SWP,95060,2009
Karnataka,Shimoga,S.Bangarappa,INC,95038,1999
Gujarat,Godhra,Solanki Bhupendrasinh Prabhatsinh,BJP,95022,1999
Orissa,Berhampur,Chandrasekhar Sahu,BJD,94844,2019
Madhya Pradesh,Seoni,Neeta Pateriya,BJP,94801,2004
Orissa,Bhadrak,Arjun Charan Sethi,BJD,94769,2004
Jharkhand,Giridih,Ravindra Kumar Pandey,BJP,94738,2009
Manipur,Inner Manipur,Dr. Thokchom Meinya,INC,94674,2014
Madhya Pradesh,Damoh,Chandrabhan Bhaiya,BJP,94595,2004
Rajasthan,Bikaner,Rameshwar Lal Dudi,INC,94509,1999
Bihar,Saharsa,Dinesh Chandra Yadav,JD(U),94493,1999
Uttar Pradesh,Mainpuri,Shree Mulayam Singh Yadav,SP,94389,2019
West Bengal,Calcutta North West,Sudip Bandyopadhyay,AITC,94170,1999
Andhra Pradesh,Bapatla,Daggubati Purandareswari,INC,94082,2004
Punjab,Fatehgarh Sahib,Dr. Amar Singh,INC,93898,2019
Assam,Kaliabor,Gourav Gogoi,INC,93874,2014
Maharashtra,Yavatmal-Washim,Gawali Bhavana Pundlikrao,SHS,93816,2014
Tamil Nadu,Tiruppur,"Subbarayan, K.",CPI,93368,2019
Andhra Pradesh,Malkajgiri,Sathyanarayana Sarvey,INC,93326,2009
Jharkhand,Godda,Pradeep Yadav,BJP,93262,1999
Uttar Pradesh,Amroha,Rashid Alvi,BSP,93225,1999
Delhi,South Delhi,Ramesh Kumar,INC,93219,2009
Sikkim,Sikkim,Nakul Das Rai,SDF,93151,2004
Uttar Pradesh,Hardoi,Smt. Usha Verma,SP,92935,2009
West Bengal,Bangaon,Gobinda Chandra Naskar,AITC,92826,2009
Jharkhand,Dumka,Shibu Soren,JMM,92825,1999
Gujarat,Baroda,Jayaben Thakkar,BJP,92649,1999
Andhra Pradesh,Bapatla,D. Rama Naidu,TDP,92457,1999
Uttar Pradesh,Nagina,Yashwant Singh,BJP,92390,2014
Bihar,Arrah,Ram Prasad Singh,RJD,92282,1999
Jharkhand,Khunti,Karia Munda,BJP,92248,2014
Karnataka,Bidar,Bhagwanth Khuba,BJP,92222,2014
Uttar Pradesh,Kairana,Pradeep Kumar,BJP,92160,2019
Uttar Pradesh,Amroha,Devendra Nagpal,RLD,92083,2009
Assam,Karimganj,Lalit Mohan Suklabaidya,INC,91948,2004
Rajasthan,Banswara,Manshankar Ninama,BJP,91916,2014
Pondicherry,Puducherry,V. Narayanasamy,INC,91772,2009
Andhra Pradesh,Araku,Kothapalli Geetha,YSRCP,91398,2014
Maharashtra,Pune,Pradeep Rawat,BJP,91285,1999
Tamil Nadu,Tindivanam,Dhanaraju. K,PMK,91164,2004
Gujarat,Ahmedabad West,Dr. Kirit Premjibhai Solanki,BJP,91127,2009
Maharashtra,Thane,Anand Prakash Paranjpe,SS,90872,2004
Andhra Pradesh,Nandyal,S.P.Y. Reddy,INC,90847,2009
Orissa,Bolangir,Kalikesh Narayan Singh Deo,BJD,90835,2009
Uttar Pradesh,Ghaziabad,Rajnath Singh,BJP,90681,2009
Madhya Pradesh,Ratlam,Guman Singh Damor,BJP,90636,2019
Chhattisgarh,Mahasamund,Shri Chunnilal Sahu,BJP,90511,2019
Andhra Pradesh,Visakhapatnam,Kambhampati Hari Babu,BJP,90488,2014
Jharkhand,Lohardaga,Rameshwar Oraon,INC,90255,2004
Uttar Pradesh,Mohanlalganj,Kaushal Kishore,BJP,90229,2019
Maharashtra,Jalgaon,Y G Mahajan Sir,BJP,89795,1999
Jharkhand,Singhbhum,Madhu Kora,IND,89673,2009
West Bengal,Jadavpur,Sujan Chakraborty,CPM,89668,2004
Telangana,Karimnagar,Shri Bandi Sanjay Kumar,BJP,89508,2019
Assam,Barpeta,A F Golam Osmani,INC,89362,1999
West Bengal,Bardhaman Purba,Sunil Kumar Mondal,AITC,89311,2019
Tamil Nadu,Tiruchirappalli,Arangarajan Kumaramangalam,BJP,89197,1999
Andhra Pradesh,Anakapalli,DR.BEESETTI VENKATA SATYAVATHI,YSRCP,89192,2019
West Bengal,Medinipur,Shri Dilip Ghosh,BJP,88952,2019
West Bengal,Birbhum,Satabdi Roy,AITC,88924,2019
Maharashtra,Palghar,Rajendra Dhedya Gavit,SHS,88883,2019
Uttarakhand,Nainital-Udhamsingh Nagar,K.C. Singh Baba,INC,88412,2009
West Bengal,Jalpaiguri,Mahendra Kumar Roy,CPM,88371,2009
Madhya Pradesh,Kanker,Sohan Potai,BJP,88191,1999
Madhya Pradesh,Balaghat,Gauri Shankar Chaturbhuj Bisen,BJP,88089,2004
Karnataka,Haveri,Shivkumar Chanabasappa Udasi,BJP,87920,2009
Rajasthan,Ajmer,Rasa Singh Rawat,BJP,87674,1999
Tamil Nadu,Chidambaram,"Ponnuswamy, E.",PMK,87651,2004
Karnataka,Haveri,Udasi Shivakumar Channabasappa,BJP,87571,2014
Jharkhand,Singhbhum,Laxman Giluwa,BJP,87524,2014
Uttar Pradesh,Moradabad,Kunwer Sarvesh Kumar,BJP,87504,2014
Rajasthan,Barmer,Col. Sona Ram,BJP,87461,2014
Assam,Kokrajhar,Sansuma Khunggur Bwismuthiary,IND,87425,1999
Uttar Pradesh,Misrikh,Anju Bala,BJP,87363,2014
Maharashtra,Kopargaon,E. V. Alias Balasaheb Vikhe Patil,INC,87331,2004
Chhattisgarh,Janjgir-Champa,Smt. Kamla Devi Patle,BJP,87211,2009
West Bengal,Cooch Behar,Renuka Sinha,AITC,87107,2014
Bihar,Madhubani,Dr. Shakeel Ahmad,INC,87079,2004
Andhra Pradesh,Vijayawada,Gadde Rama Mohan,TDP,87066,1999
Orissa,Deogarh,Debendra Pradhan,BJP,86869,1999
Orissa,Kendrapara,Archana Nayak,BJD,86843,2004
Gujarat,Rajkot,Dr Kathiriya Vallabhbhai Ramjibhai,BJP,86747,1999
Madhya Pradesh,Guna,Jyotiraditya Madhavrao Scindia,INC,86360,2004
Punjab,Sangrur,Simranjit Singh Mann,SAD(M),86317,1999
Andhra Pradesh,Narasaraopet,Mekapati Rajamohan Reddy,INC,86255,2004
Tamil Nadu,Nilgiris,Andimuthu Raja,DMK,86021,2009
Assam,Tezpur,Ram Prasad Sarmah,BJP,86020,2014
Bihar,Jamui,Chirag Kumar Paswan,LJP,85947,2014
Uttar Pradesh,Shravasti,Daddan Mishra,BJP,85913,2014
Andhra Pradesh,Hanamkonda,Chada Suresh Reddy,TDP,85781,1999
Maharashtra,Madha,Shri Ranjeet Singh Hindurao Naik Nimbalkar,BJP,85764,2019
Uttar Pradesh,Kushi Nagar,Rajesh Pandey Urf Guddu,BJP,85540,2014
Maharashtra,Mumbai-North-West,Sunil Dutt,INC,85539,1999
Uttar Pradesh,Rampur,P. Jaya Prada Nahata,SP,85474,2004
Andhra Pradesh,Narsapuram,Gokaraju Ganga Raju,BJP,85351,2014
Tamil Nadu,Tiruppur,C. Sivasami,AIADMK,85346,2009
Uttar Pradesh,Firozabad,Raj Babbar,INC,85343,2009
Karnataka,Bellary,B. Sreeramulu,BJP,85144,2014
Bihar,Palamu,Braj Mohan Ram,BJP,85125,1999
Uttar Pradesh,Saharanpur,Jagdish Singh Rana,BSP,84873,2009
Sikkim,Sikkim,Prem Das Rai,SDF,84868,2009
Haryana,Gurgaon,Inderjit Singh Rao,INC,84864,2009
Karnataka,Belgaum,Angadi Suresh Chanabasappa,BJP,84753,2004
Karnataka,Chikkodi,Jigajinagi Rameshchandappa,JD(U),84590,1999
Bihar,Karakat,Mahabali Singh,JD(U),84542,2019
Uttar Pradesh,Mirzapur,Phoolan Devi,SP,84476,1999
Gujarat,Sabarkantha,Rathod Dipsinh Shankarsinh,BJP,84455,2014
West Bengal,Maldaha Uttar,Shri Khagen Murmu,BJP,84288,2019
Himachal Pradesh,Shimla,Virender Kashyap,BJP,84187,2014
Bihar,Nawada,Sanjay Paswan,BJP,84085,1999
Kerala,Cannanore,A. P. Abdullakutty,CPM,83849,2004
Uttar Pradesh,Etawah,Raghuraj Singh Shakya,SP,83683,1999
Madhya Pradesh,Satna,Ganesh Singh,BJP,83590,2004
Uttar Pradesh,Firozabad,Ram Jilal Suman,SP,83368,1999
Punjab,Faridkot,Mohd. Sadique,INC,83256,2019
Chhattisgarh,Janjgir-Champa,Shri Guharam Ajgale,BJP,83255,2019
Madhya Pradesh,Gwalior,Jaibhan Singh Pavaiya,BJP,83116,1999
Rajasthan,Kota,Ijyaraj Singh,INC,83093,2009
Karnataka,Dharwad North,Pralhad Joshi,BJP,83078,2004
Andhra Pradesh,Machilipatnam,Ambati Brahmanaiah,TDP,82996,1999
Andhra Pradesh,Srikakulam,Dr. Kruparani Killi,INC,82987,2009
Karnataka,Kolar,K.H. Muniyappa,INC,82782,1999
Delhi,East Delhi,Lal Bihari Tiwari,BJP,82760,1999
Kerala,Ponnani,E. T. Mohammed Basheer,IUML,82684,2009
Assam,Jorhat,Topon Kumar Gogoi,BJP,82653,2019
West Bengal,Basirhat,Ajoy Chakraborty,CPI,82587,1999
Uttar Pradesh,Jhansi,Sujan Singh Bundela,INC,82521,1999
Punjab,Gurdaspur,Sunny Deol,BJP,82459,2019
Madhya Pradesh,Vidisha,Shivraj Singh,BJP,82397,1999
Bihar,Singhbhum,Laxman Gilua,BJP,82311,1999
Manipur,Outer Manipur,Mani Charenamei,IND,82193,2004
West Bengal,Mathurapur,Basudeb Barman,CPM,82028,2004
Uttar Pradesh,Shahjahanpur,Kunwar Jitin Prasad,INC,81832,2004
Karnataka,Koppal,Shivaramagouda,BJP,81789,2009
Maharashtra,Sangli,Patil Prakashbapu Vasantdada,INC,81623,2004
Assam,Silchar,Rajdeep Roy,BJP,81596,2019
Rajasthan,Jhalawar,Dushyant Singh,BJP,81579,2004
Chhattisgarh,Bilaspur,Punnulal Mohle,BJP,81553,2004
West Bengal,Hooghly,Dr. Ratna De Nag,AITC,81523,2009
Maharashtra,Nanded,Ashok Shankarrao Chavan,INC,81455,2014
Rajasthan,Bharatpur,Ratan Singh,INC,81454,2009
Uttar Pradesh,Hardoi,Anshul Verma,BJP,81343,2014
Madhya Pradesh,Khajuraho,Satyavrat Chaturvedi,INC,81137,1999
Andhra Pradesh,Machilipatnam,Konakalla Narayana Rao,TDP,81057,2014
Uttar Pradesh,Jaunpur,Shri Shyam Singh Yadav,BSP,80936,2019
Maharashtra,Rajapur,Suresh Prabhakar Prabhu,SHS,80899,2004
Uttar Pradesh,Aligarh,Sheela Gautam,BJP,80817,1999
West Bengal,Baharampur,Adhir Ranjan Chowdhury,INC,80696,2019
Maharashtra,Hingoli,Mane Shivaji Gyanbarao,SHS,80655,1999
Maharashtra,Maval,Gajanan Dharmshi Babar,SHS,80619,2009
Gujarat,Bhavnagar,Rana Rajendrasinh Ghanashyamsinh (Rajubhai Rana),BJP,80426,2004
Uttar Pradesh,Jaunpur,Dhananjay Singh,BSP,80351,2009
Madhya Pradesh,Jhabua,Kantilal Bhuria,INC,80282,2004
Bihar,Kishanganj,Maulana Asrarul Haque Mohammad,INC,80269,2009
Goa,North Goa,Shri Shripad Yesso Naik,BJP,80247,2019
Karnataka,Chitradurga,Shri A Narayanaswamy,BJP,80178,2019
Uttar Pradesh,Bijnor,Munshiram S/O Sri Ramcharan Singh,RLD,80175,2004
Jharkhand,Khunti,Kariya Munda,BJP,80175,2009
Madhya Pradesh,Raipur,Ramesh Bais,BJP,80060,1999
Bihar,Godda,Jagdambi Prasad Yadav,BJP,79892,1999
Andhra Pradesh,Nalgonda,Gutha Sukender Reddy,TDP,79735,1999
Gujarat,Kapadvanj,Vaghela Shankersinh Laxmansinh,INC,79435,2004
Delhi,Chandni Chowk,Kapil Sibal,INC,79415,2004
Bihar,Purvi Champaran,Radha Mohan Singh,BJP,79290,2009
Uttar Pradesh,Kannauj,Mulayam Singh Yadav,SP,79139,1999
Orissa,Deogarh,Dharmendra Pradhan,BJP,79096,2004
Maharashtra,Mumbai-South-Central,Mohan Vishnu Rawale,SHS,79036,1999
Punjab,Patiala,Preneet Kaur,INC,78908,1999
Andhra Pradesh,Tenali,Balashowry Vallabhaneni,INC,78556,2004
Andhra Pradesh,Ongole,Magunta Sreenivasulu Reddy,INC,78523,2009
Rajasthan,Dausa,Jas Kaur Meena,BJP,78444,2019
Uttar Pradesh,Kaiserganj,Brij Bhusan Sharan Singh,BJP,78218,2014
Andhra Pradesh,Rajampet,Annayyagari Sai Prathap,INC,78085,2004
West Bengal,Bishnupur,Shri Soumitra Khan,BJP,78047,2019
Andhra Pradesh,Anantapur,Anantha Venkatarami Reddy,INC,77921,2009
Telangana,Mahbubnagar,Manne Srinivas Reddy,TRS,77829,2019
Gujarat,Ahmedabad,Harin Pathak,BJP,77605,2004
Tamil Nadu,Perambalur,D. Napoleon,DMK,77604,2009
Maharashtra,Gadchiroli-Chimur,Shri Ashok Mahadeorao Nete,BJP,77526,2019
Haryana,Sonipat,Ramesh Chander,BJP,77414,2014
West Bengal,Krishnanagar,Tapas Paul,AITC,77386,2009
Punjab,Ropar,Shamsher Singh,INC,77381,1999
Tamil Nadu,Dharmapuri,Anbumani Ramadoss,PMK,77146,2014
Kerala,Muvattupuzha,Adv. P.C. Thomas,KEC(M),76939,1999
Orissa,Jagatsinghpur,Bibhu Prasad Tarai,CPI,76735,2009
Tamil Nadu,Theni,Raveendranath Kumar P,AIDMK,76693,2019
Tamil Nadu,Thoothukkudi,S. R. Jeyadurai,DMK,76649,2009
Tamil Nadu,Krishnagiri,E.G. Sugavanam,DMK,76598,2009
Uttar Pradesh,Mohanlalganj,Smt. Sushila Saroj,SP,76595,2009
Uttar Pradesh,Domariyaganj,Jagdambika Pal,INC,76566,2009
Karnataka,Bagalkot,R.S. Patil,INC,76434,1999
Punjab,Ludhiana,Ravneet Singh Bittu,INC,76372,2019
Rajasthan,Jhunjhunu,Sisram Ola,INC,76348,1999
Haryana,Karnal,"Dr. Arvind Kumar Sharma,",INC,76346,2009
Bihar,Balia,Suraj Singh,LJNSP,76227,2004
Karnataka,Shimoga,S. Bangarappa,BJP,76145,2004
Rajasthan,Ajmer,Sachin Pilot,INC,76135,2009
Bihar,Khagaria,Choudhary Mahboob Ali Kaiser,LJP,76003,2014
Karnataka,Belgaum,Angadi Suresh Channabasappa,BJP,75860,2014
Maharashtra,Mumbai-South-Central,Eknath Mahadeo Gaikwad,INC,75706,2009
Punjab,Tarn Taran,Tarlochan Singh Tur,SAD,75617,1999
Madhya Pradesh,Bilaspur,Punnulal Mohale,BJP,75333,1999
West Bengal,Raiganj,Priya Ranjan Dasmunsi,INC,75255,1999
Assam,Gauhati,Bijoya Chakravarty,BJP,75238,1999
Rajasthan,Nagaur,C R Choudhary,BJP,75218,2014
Maharashtra,Ahmednagar,Gadakh Tukaram Gangadhar,NCP,75077,2004
Tamil Nadu,Sriperumbudur,"Krishnaswamy, A.",DMK,75002,1999
Rajasthan,Udaipur,Kiran Maheshwari,BJP,74875,2004
Andhra Pradesh,Vijayawada,Kesineni Srinivas,TDP,74862,2014
Gujarat,Surat,Smt. Darshana Vikram Jardosh,BJP,74798,2009
Kerala,Idukki,P. T. Thomas,INC,74796,2009
Tamil Nadu,Sivakasi,Vaiko,MDMK,74781,1999
Karnataka,Gulbarga,Mallikarjun Kharge,INC,74733,2014
Bihar,Arrah,Smt. Meena Singh,JD(U),74720,2009
Maharashtra,Nanded,Bhaskarrao Bapurao Patil,INC,74614,2009
Assam,Autonomous District,Biren Singh Engti,INC,74548,2009
Chhattisgarh,Raigarh,Vishnudeo Sai,BJP,74243,2004
Kerala,Thiruvananthapuram,Pannyan Raveendran,CPI,74200,2004
Karnataka,Tumkur,Muddahanumegowda.S.P.,INC,74041,2014
Tamil Nadu,Cuddalore,"Sankar, Adhi",DMK,73953,1999
Bihar,Sheohar,Sitaram Singh,RJD,73883,2004
Manipur,Outer Manipur,Lorho S. Pfoze,NPF,73782,2019
West Bengal,Calcutta North East,Md. Salim,CPM,73780,2004
Andhra Pradesh,Kurnool,Kotla Jaya Surya Prakash Reddy,INC,73773,2009
Karnataka,Chikmagalur,D. C. Srikantappa,BJP,73672,2004
Maharashtra,Amravati,Gudhe Anant Mahadeoappa,SHS,73652,1999
Maharashtra,Hingoli,Subhash Bapurao Wankhede,SHS,73634,2009
Chhattisgarh,Kanker,Sohan Potai,BJP,73626,2004
Uttar Pradesh,Rae Bareli,Captain Satish Sharma,INC,73549,1999
Uttar Pradesh,Chandauli,Jawahar Lal Jaiswal,SP,73529,1999
Andhra Pradesh,Anantapur,Anantha Venkata Rami Reddy,INC,73404,2004
West Bengal,Hooghly,Smt. Locket chaterjee,BJP,73362,2019
Maharashtra,Pune,Kalmadi Suresh,INC,73176,2004
Andhra Pradesh,Tenali,Ummareddy Venkateswarlu,TDP,73029,1999
Telangana,Chelvella,Konda Vishweshwar Reddy,TRS,73023,2014
West Bengal,Asansol,Bansa Gopal Chowdhury,CPM,72956,2009
Rajasthan,Chittorgarh,Dr.(Kum.) Girija Vyas,INC,72778,2009
Himachal Pradesh,Hamirpur,Anurag Singh Thakur,BJP,72732,2009
Bihar,Jhanjharpur,Mangani Lal Mandal,JD(U),72709,2009
Maharashtra,Nagpur,Vilas Muttemwar,INC,72695,1999
Andhra Pradesh,Nandyal,Bhuma Nagi Reddy,TDP,72609,1999
Bihar,Aurangabad,Sushil Kumar Singh,BJP,72607,2019
Uttar Pradesh,Ballia,Neeraj Shekhar,SP,72555,2009
Gujarat,Bharuch,Vasava Mansukhbhai Dhanjibhai,BJP,72202,2004
Uttar Pradesh,Kaiserganj,Brijbhushan Sharan Singh,SP,72199,2009
Jharkhand,Singhbhum,Smt Geeta Kora,INC,72155,2019
Bihar,Aurangabad,Sushil Kumar Singh,JD(U),72058,2009
Assam,Jorhat,Bijoy Krishna Handique,INC,71914,2009
Rajasthan,Kota,Raghuveer Singh Koshal,BJP,71778,2004
Kerala,Chalakudy,K. P. Dhanapalan,INC,71679,2009
Kerala,Kottayam,Jose K. Mani,KEC(M),71570,2009
Haryana,Sirsa,Atma Singh Gill,INC,71475,2004
Gujarat,Kutch,Smt. Poonam Veljibhai Jat,BJP,71343,2009
West Bengal,Diamond Harbour,Abhishek Banerjee,AITC,71298,2014
West Bengal,Krishnanagar,Tapas Paul,AITC,71255,2014
West Bengal,Diamond Harbour,Samik Lahiri,CPM,71163,1999
West Bengal,Balurghat,Ranen Barman,RSP,71146,2004
Punjab,Jalandhar,Santokh Singh Chaudhary,INC,70981,2014
Karnataka,Bangalore Central,Shri P. C. Mohan,BJP,70968,2019
Meghalaya,Shillong,Paty Ripple Kyndiah,INC,70896,2004
Madhya Pradesh,Damoh,Shivraj Singh Lodhi,BJP,70877,2009
Telangana,Nizamabad,Aravind Dharmapuri,BJP,70875,2019
Tamil Nadu,Dharmapuri,Dnv Senthilkumar. S.,DMK,70753,2019
Rajasthan,Nagaur,Bhanwar Singh Dangawas,BJP,70627,2004
Uttar Pradesh,Shahjahanpur,Mithlesh Kumar,SP,70579,2009
West Bengal,Asansol,Babul Supriya Baral (Babul Supriyo),BJP,70480,2014
Assam,Tezpur,Moni Kumar Subba,INC,70445,2004
Bihar,Aurangabad,Shyama Singh,INC,70416,1999
Kerala,Ottapalam,S. Ajaya Kumar,CPM,70410,2004
Madhya Pradesh,Ujjain,Dr. Satyanarayan Jatiya,BJP,70403,2004
Uttar Pradesh,Allahabad,Dr. Murli Manohar Joshi,BJP,70331,1999
Kerala,Ernakulam,Dr. Sebastian Paul,IND,70099,2004
Jammu & Kashmir,Srinagar,Farooq Abdullah,JKPDP,70050,2019
Maharashtra,Chimur,Diwathe Namdeo Harbaji,BJP,70040,1999
Arunachal Pradesh,Arunachal East,Shri Tapir Gao,BJP,69948,2019
Uttar Pradesh,Bijnor,Malook Nagar,BSP,69941,2019
Tamil Nadu,Ramanathapuram,K. Alias J.K. Ritheesh Shivakumar,DMK,69915,2009
Karnataka,Gulbarga,Iqbal Ahemed Saradgi,INC,69837,1999
Karnataka,Bijapur,Ramesh Jigajinagi,BJP,69819,2014
Maharashtra,Baramati,Supriya Sule,NCP,69719,2014
Chandigarh,Chandigarh,Smt. Kirron Kher,BJP,69642,2014
West Bengal,Jalpaiguri,Bijoy Chandra Barman,AITC,69606,2014
Kerala,Idukki,K. Francis George,KEC,69384,2004
Andhra Pradesh,Bapatla,Smt. Lakshmi Panabaka,INC,69338,2009
Uttar Pradesh,Meerut,Mohd. Shahid,BSP,69336,2004
Uttar Pradesh,Ghazipur,Radhe Mohan Singh,SP,69309,2009
Uttar Pradesh,Pratapgarh,"Akshay Pratap Singh ""Gopal Ji""",SP,69272,2004
Pondicherry,Pondicherry,Ramadass. M.,PMK,69181,2004
Bihar,Banka,Putul Kumari,IND,69119,2009
Andhra Pradesh,Guntur,Jayadev Galla,TDP,69111,2014
Uttar Pradesh,Muzaffarnagar,Ch. Munawwar Hasan,SP,69005,2004
Andhra Pradesh,Mahabubabad,Porika Balram Naik,INC,68957,2009
